model,observation,uniform,quantile_residual
NBI,45,0.886904761904762,0.411515534332863
NBI,46,0.232142857142857,-1.57476889021021
NBI,47,0.577380952380952,0.211258021611493
NBI,48,0.922619047619048,-0.796697542418125
NBI,49,0.267857142857143,0.00871663311751842
NBI,50,0.613095238095238,-1.12933297385675
NBI,51,0.958333333333333,0.659905452468403
NBI,52,0.303571428571429,-1.57408179300884
NBI,53,0.648809523809524,0.466554992681324
NBI,54,0.994047619047619,-0.302292322508021
NBI,55,0.339285714285714,0.273766441315551
NBI,56,0.68452380952381,-0.56153716345664
NBI,57,0.0297619047619048,0.0768154962109745
NBI,58,0.375,-0.840770067110651
NBI,59,0.720238095238095,0.63887777921132
NBI,60,0.0654761904761905,-1.16456167622563
NBI,61,0.410714285714286,0.454362823635795
NBI,62,0.755952380952381,-0.773549247830133
NBI,63,0.101190476190476,0.27144731941643
NBI,64,0.446428571428571,-1.04246135375491
NBI,65,0.791666666666667,0.784885473947837
NBI,66,0.136904761904762,-0.731134559967467
NBI,67,0.482142857142857,0.613701512782697
NBI,68,0.827380952380952,-0.454312312877695
NBI,69,0.172619047619048,0.781662333819605
NBI,70,0.517857142857143,-0.670439560379616
NBI,71,0.863095238095238,0.939566975490655
NBI,72,0.208333333333333,-0.897128333812654
NBI,73,0.553571428571429,1.08569669390757
NBI,74,0.898809523809524,-0.608763544239593
NBI,75,0.244047619047619,1.23927083541306
NBI,76,0.589285714285714,-0.800768167283984
NBI,77,0.93452380952381,1.65085379371207
NBI,78,0.279761904761905,-0.528422833264589
NBI,79,0.625,1.77174813443255
NBI,80,0.970238095238095,-0.275827460831871
NBI,81,0.31547619047619,2.12945194174253
NBI,82,0.660714285714286,-0.437654250004498
NBI,83,0.00595238095238095,-3.59712376131752
