model,observation,mu,sigma,variance
NBI,67,3.70599881343821,0.206135748440606,6.53715524478624
NBI,68,3.7871979193294,0.197271519015183,6.61663729253951
NBI,69,3.86622521123295,0.189250667689602,6.69508692157203
NBI,70,3.94283746403709,0.182024550578427,6.77258516926796
NBI,71,4.01684525988777,0.17554510753641,6.849273617306
NBI,72,4.08811863617143,0.16976588851799,6.92536737511243
NBI,73,4.15659144715054,0.164642831440667,7.00116721143733
NBI,74,4.22226431631367,0.16013483582247,7.07707065718081
NBI,75,4.28520611605254,0.156204172766988,7.15358200612894
NBI,76,4.34555397263626,0.152816767170737,7.23132125068014
NBI,77,4.40351185368698,0.149942382932894,7.31103210277562
NBI,78,4.45934784881381,0.147554736882554,7.39358936201159
NBI,79,4.51339029864236,0.145631562380751,7.48000599961421
NBI,80,4.56602296088573,0.14415463926347,7.57144042555111
NBI,81,4.6176794229706,0.143109803037359,7.66920449432695
NBI,82,4.66883697865417,0.142486943024834,7.77477288169169
NBI,83,4.72001018155822,0.142279996434352,7.88979452922275
